"상품군별","판매매체별",2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09 p),2022.10 p)
"생활용품","계",592310,607119,619493,575323,600558,597243,613589,631622,653743,602048,708613,681900,710430,636039,739338,709864,715962,687897,740180,714937,691804,788705,799848,787821,831769,735651,869192,821882,862291,812251,845351,874832,859634,907585,932759,927285,951436,1136757,1239912,1083795,1151792,1166157,1211740,1268095,1229562,1178870,1220778,1389270,1307225,1160800,1322833,1265568,1312036,1298798,1357939,1336836,1323877,1392998,1397886,1508074,1389874,1368283,1497429,1376855,1419313,1407901,1413807,1491887,1367749,1403519
"생활용품","인터넷쇼핑",245410,252296,266119,246729,247892,246264,240315,245562,265245,227897,274287,264710,261059,234324,271316,272221,259687,245069,258839,244105,238866,272434,273645,271350,274481,239248,290887,294143,296296,267664,280599,288626,281795,291248,295220,298547,273318,316906,340220,322729,327327,334382,332733,323993,333441,315105,334283,379459,336571,303210,353414,331854,339510,342132,347030,337708,329929,360799,370681,382131,342216,305355,346312,327550,342217,324106,310164,329018,300750,357568
"생활용품","모바일쇼핑",346900,354823,353374,328595,352665,350978,373275,386060,388499,374151,434326,417191,449370,401715,468022,437644,456275,442828,481341,470832,452938,516271,526203,516470,557289,496403,578305,527740,565994,544587,564752,586206,577839,616337,637539,628739,678117,819851,899692,761066,824465,831775,879006,944103,896121,863766,886495,1009811,970653,857591,969419,933714,972525,956666,1010909,999128,993949,1032199,1027205,1125944,1047658,1062928,1151117,1049304,1077097,1083795,1103643,1162869,1066999,1045951
"자동차 및 자동차용품","계",80144,76677,81297,80513,87211,88191,94244,92700,86998,80475,89567,85223,77220,65502,83898,82601,84011,81252,91030,84879,78457,88244,98099,94668,96468,79857,106893,97417,106336,98707,97304,112212,169793,106702,159418,115796,113589,161121,211539,133384,143319,260840,158251,202781,217692,153043,214043,202961,151969,153199,347597,179406,396821,516153,166138,296192,342765,210770,361502,282756,234953,224931,405009,241995,357193,432686,253776,406174,503466,239649
"자동차 및 자동차용품","인터넷쇼핑",34744,33549,37139,35727,38442,39538,41482,39414,36519,32422,39536,37716,31543,26428,36667,32750,32931,32724,35786,33296,30829,34981,42105,38056,35085,29204,43395,39003,43129,39230,38768,50770,94800,42339,92297,49755,48441,83042,124122,49017,49346,165332,55495,103261,119525,59738,95880,79483,44762,60482,241197,62906,277646,400036,50493,181886,218593,60481,177267,86468,69906,70170,232463,70099,170321,250073,68284,253502,334332,61841
"자동차 및 자동차용품","모바일쇼핑",45400,43128,44158,44786,48770,48653,52762,53285,50478,48053,50031,47508,45677,39074,47231,49851,51080,48528,55245,51583,47628,53262,55994,56612,61383,50653,63498,58413,63207,59477,58536,61443,74993,64363,67121,66041,65148,78079,87417,84367,93973,95508,102755,99520,98167,93304,118164,123478,107207,92717,106400,116500,119175,116117,115644,114306,124172,150290,184235,196287,165048,154761,172546,171896,186872,182613,185492,152671,169134,177808
"가구","계",188602,219176,240688,206024,201440,203584,211657,226983,227801,223084,242170,220685,251892,241563,277056,260782,254665,243327,247840,244396,242257,296675,295741,280075,284702,273700,309508,288266,289865,274041,266896,279352,291520,324803,329462,323767,298019,363751,433960,401941,397538,394872,381140,405776,443288,448985,443497,484732,475157,435158,499909,449454,438246,431178,429646,428082,422400,452753,455754,479879,437317,466095,475536,421430,426397,417234,402657,429356,400241,423907
"가구","인터넷쇼핑",83204,96989,102935,88744,83217,84221,85175,90905,91966,85731,96351,88111,92737,89192,102507,95591,91504,89702,88726,86515,83475,102783,103195,98788,96792,89084,104367,99194,103232,93606,93750,93136,92330,100944,105773,104115,91266,112451,126814,120495,117527,118207,115810,114048,123937,128338,129688,138834,127893,114888,137291,125621,119006,122974,119796,114364,108431,121500,125411,128579,110491,112404,115953,110247,110292,102990,99546,104801,95560,107214
"가구","모바일쇼핑",105397,122186,137752,117279,118222,119363,126482,136077,135835,137353,145819,132574,159155,152372,174549,165191,163161,153625,159115,157881,158782,193892,192546,181287,187910,184617,205141,189071,186633,180435,173145,186216,199190,223859,223689,219652,206753,251300,307146,281446,280011,276665,265330,291728,319351,320647,313809,345897,347264,320271,362618,323833,319241,308204,309850,313718,313969,331253,330343,351300,326826,353691,359583,311183,316105,314244,303111,324555,304682,316693
"애완용품","계",53096,62005,65265,59383,56112,56092,58500,60590,66077,64491,72675,62280,72178,60944,68634,70338,69233,75126,75847,71481,66227,69666,68301,68077,72818,65332,73144,75924,77463,77825,77944,77351,82670,88768,86415,87025,83991,84374,89927,89355,89750,87477,95766,92128,95225,99316,99917,107468,104221,92148,103965,100816,104796,104255,106243,109202,108359,112452,111730,118824,115572,109928,123337,117750,121264,123100,124142,130784,127332,128314
"애완용품","인터넷쇼핑",22849,24296,25187,23609,22937,22732,22569,23065,24325,22728,25677,23206,24538,20227,22960,22363,22195,23474,21873,21450,18168,21100,19750,19851,20185,19901,21791,24066,24044,22063,22177,21988,25333,25295,23474,24735,20252,19349,21093,21486,20507,20702,21891,19998,20710,23181,24106,23821,21397,18580,21521,19345,20223,20171,20473,20918,18775,22393,21798,20462,21122,15946,18941,18092,17793,18487,17816,18922,18722,25607
