diet_type,cost
current,15.927812656111717
current,17.969936844110485
current,69.70705397051115
current,71.74917815850992
current,13.548896031285993
current,15.591020219284763
current,67.32813734568543
current,69.3702615336842
current,12.710047206579285
current,14.752171394578054
current,66.48928852097872
current,68.53141270897748
current,15.777174189195717
current,17.819298377194485
current,69.55641550359515
current,71.59853969159391
current,13.48346151868772
current,15.52558570668649
current,67.26270283308715
current,69.30482702108591
current,12.644612693981012
current,14.686736881979781
current,66.42385400838045
current,68.46597819637921
current,15.711739676597444
current,17.753863864596212
current,69.49098099099687
current,71.53310517899564
current,11.841054832340761
current,13.883179020339531
current,65.62029614674019
current,67.66242033473895
current,11.002206007634053
current,13.044330195632822
current,64.78144732203349
current,66.82357151003225
current,14.069332990250485
current,16.111457178249253
current,67.84857430464992
current,69.89069849264868
current,12.021488882536646
current,14.063613070535416
current,65.80073019693607
current,67.84285438493484
current,11.182640057829937
current,13.224764245828707
current,64.96188137222937
current,67.00400556022814
current,14.24976704044637
current,16.291891228445138
current,68.0290083548458
current,70.07113254284457
current,12.05281267763291
current,14.094936865631679
current,65.83205399203234
current,67.87417818003111
current,11.2139638529262
current,13.25608804092497
current,64.99320516732564
current,67.03532935532441
current,14.281090835542633
current,16.3232150235414
current,68.06033214994207
current,70.10245633794084
current,12.323029838488422
current,14.365154026487192
current,66.10227115288785
current,68.14439534088662
current,11.484181013781715
current,13.526305201780485
current,65.26342232818115
current,67.30554651617992
current,14.551307996398146
current,16.593432184396914
current,68.33054931079758
current,70.37267349879635
current,13.330577050732591
current,15.372701238731361
current,67.10981836513203
current,69.1519425531308
current,12.491728226025883
current,14.533852414024652
current,66.27096954042531
current,68.31309372842408
current,15.558855208642315
current,17.600979396641083
current,69.33809652304176
current,71.38022071104052
current,14.330295630362363
current,16.37241981836113
current,68.1095369447618
current,70.15166113276057
current,13.491446805655654
current,15.533570993654424
current,67.27068812005508
current,69.31281230805385
current,16.55857378827209
current,18.600697976270855
current,70.33781510267151
current,72.37993929067028
current,14.743167205897644
current,16.78529139389641
current,68.52240852029708
